Company,about,rating,reviews,salaries,location,jobs,interviews
Mankind Pharma,Pharma ,3.8,9.4k,253,New Delhi +247 other locations,11,253
Varroc Group,Auto Components ,3.6,9.5k,219,Pune +62 other locations,61,219
S&P Global,Analytics & KPO ,4.0,20.3k,326,Hyderabad / Secunderabad +47 other locations,224,326
Future Group,Retail ,4.2,6.8k,84,Mumbai +207 other locations,--,84
Jindal Stainless,Iron & Steel ,4.2,11.4k,311,Jajpur +78 other locations,9,311
MSN Laboratories,Pharma ,3.5,9.4k,171,Hyderabad / Secunderabad +105 other locations,41,171
Societe Generale Global Solution Centre,IT Services & Consulting ,3.6,22.8k,294,Bangalore / Bengaluru +24 other locations,121,294
Afcons Infrastructure,Engineering & Construction ,4.2,8.5k,266,Mumbai +122 other locations,33,266
Torrent Pharmaceuticals,Pharma ,4.0,10.2k,167,Ahmedabad +129 other locations,26,167
Quest Global,IT Services & Consulting ,3.5,21k,359,Bangalore / Bengaluru +49 other locations,149,359
Square Yards,Internet ,3.6,9.2k,226,Gurgaon / Gurugram +51 other locations,59,226
IDFC FIRST Bharat,Financial Services ,4.2,4.9k,150,Chennai +424 other locations,1,150
ACC,Building Material ,3.9,9.3k,233,Mumbai +274 other locations,2,233
CMS IT Services,IT Services & Consulting ,3.1,9.4k,155,Mumbai +152 other locations,50,155
I Process Services,Recruitment ,3.8,5.5k,132,Mumbai +405 other locations,1,132
HDFC Sales,Financial Services ,3.9,8.3k,189,Mumbai +344 other locations,7,189
Zensar Technologies,IT Services & Consulting ,3.7,25.7k,277,Pune +28 other locations,320,277
ESAF Small Finance Bank,Banking ,3.6,7.7k,167,Thrissur +440 other locations,37,167
Suzlon Group,Power ,4.0,7.8k,171,Pune +142 other locations,22,171
DS Group,FMCG ,4.1,7.7k,214,Noida +279 other locations,52,214
Sagility,BPO ,3.9,11.5k,241,Bangalore / Bengaluru +27 other locations,90,241
Shoppers Stop,Retail ,4.0,6.9k,141,Mumbai +82 other locations,40,141
Ola Electric Mobility,Automobile ,3.3,9.2k,296,Bangalore / Bengaluru +422 other locations,--,296
Eternal Limited,Internet ,3.7,14.5k,361,Gurgaon / Gurugram +219 other locations,11,361
Tata Elxsi,IT Services & Consulting ,3.5,22.7k,339,Bangalore / Bengaluru +30 other locations,44,339
Fujitsu,IT Services & Consulting ,3.8,17.3k,213,Pune +41 other locations,129,213
VVDN Technologies,IT Services & Consulting ,3.6,13.6k,255,Gurgaon / Gurugram +49 other locations,8,255
Indus Towers,Telecom ,3.6,9k,223,Gurgaon / Gurugram +240 other locations,24,223
Nokia,Telecom ,4.0,16.3k,313,Bangalore / Bengaluru +166 other locations,83,313
